  %   cumulative   self              self     total
 time   seconds   seconds    calls   s/call   s/call  name
 29.81      0.62     0.62 64099792     0.00     0.00  mzd_read_bit
 19.71      1.03     0.41 31950910     0.00     0.00  mzd_write_bit
 18.27      1.41     0.38 15998405     0.00     0.00  popcnt64_unrolled
 15.39      1.73     0.32   100000     0.00     0.00  canteaut_next_iset_test
  7.21      1.88     0.15 159984050     0.00     0.00  popcnt64
  4.33      1.97     0.09 15998405     0.00     0.00  mzd_row
  2.40      2.02     0.05        1     0.05     2.02  isd_prange_canteaut_test
  2.40      2.07     0.05                             popcount64
  0.48      2.08     0.01   410240     0.00     0.00  mzd_write_bit
  0.00      2.08     0.00     1280     0.00     0.00  mzd_read_bit
  0.00      2.08     0.00     1280     0.00     0.00  mzd_write_bit
  0.00      2.08     0.00     1279     0.00     0.00  mzd_read_bit
  0.00      2.08     0.00       20     0.00     0.00  popcnt64
  0.00      2.08     0.00        2     0.00     0.00  run_cpuid
  0.00      2.08     0.00        1     0.00     0.00  get_cpuid
  0.00      2.08     0.00        1     0.00     0.00  get_xcr0
  0.00      2.08     0.00        1     0.00     0.01  load_challenge
  0.00      2.08     0.00        1     0.00     0.00  mzd_first_row
  0.00      2.08     0.00        1     0.00     0.00  mzd_fprint
  0.00      2.08     0.00        1     0.00     0.00  mzd_print
  0.00      2.08     0.00        1     0.00     0.00  popcnt
  0.00      2.08     0.00        1     0.00     0.00  popcnt64_unrolled
  0.00      2.08     0.00        1     0.00     0.00  print_cw

